Class,Date,Summary,Reading
Lecture 1,28-Sep,Introduction,"H&P: Sections 1.1-1.3, Appendix L.1-L.2"
,,Homework 1 Release: Measuring Performance,https://github.com/jlpteaching/17fq-cs201a/blob/master/hw1/hw1.rst
Discussion 1,2-Oct,Background Quiz,
,,Paper Discussion 1,
,,Review: Cramming More Components onto Integrated Circuits,http://ieeexplore.ieee.org/document/4785860/
,,Optional: Design of Ion-Implanted MOSFET’s with Very Small Physical Dimensions,http://ieeexplore.ieee.org/document/1050511/
Lecture 2,3-Oct,Tech Trends,H&P: 1.4-1.7
Lecture 3,5-Oct,Performance,H&P: 1.8-1.12
Discussion 2,9-Oct,"Homework 1 Due, Discussion",
,,Paper Discussion 2,
,,Review: Amdahl's Law in the Multicore Era,http://ieeexplore.ieee.org/document/4563876/
,,Review: Retrospective on Amdahl’s Law in the Multicore Era,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7945175
,,Homework 2 Release: Cache and Memory Systems,https://github.com/jlpteaching/17fq-cs201a/blob/master/hw2/hw2.rst
Lecture 4,10-Oct,Cache Refresher,"H&P: 2.1-2.2, B.1-B.3"
Lecture 5,12-Oct,Cache Optimizations,"H&P: 2.1-2.2, B.1-B.3"
Discussion 3,16-Oct,Quiz 1,
,,Paper Discussion 3,
,,Review: Fundamental Latency Trade-offs in Architecting DRAM Caches,http://moin.ece.gatech.edu/papers/micro12.pdf
Lecture 6,17-Oct,DRAM and Virtual Memory,H&P: 2.3
Lecture 7,19-Oct,Virtual Memory,H&P: B.4-B.5
Discussion 4,23-Oct,"Homework 2 Due, Discussion",
,,Paper Discussion 4,
,,"Review: Translation Caching: Skip, Don't Walk (The Page Table)",https://dl.acm.org/citation.cfm?id=1815970
Lecture 8,24-Oct,Virtualization,H&P: 2.4 
Lecture 9,26-Oct,Memory Hierarchy Summary,H&P: 2.6-2.8
Discussion 5,30-Oct,Review for Midterm,
Lecture 10,31-Oct,Midterm,
Lecture 11,2-Nov,Pipelining 1,"H&P: 3.1, C.1"
,,Homework 3 Release: ILP and Code Optimization,https://github.com/jlpteaching/17fq-cs201a/blob/master/hw3/hw3.rst
Discussion 6,6-Nov,Discuss Midterm,
,,Paper Discussion 5,
,,Review: Instruction-Level Parallel Processing,http://rsim.cs.uiuc.edu/arch/qual_papers/compilers/Rau.pdf
Lecture 12,7-Nov,Pipelining 2,"H&P: 3.3, C.2"
Lecture 13,9-Nov,Advanced Pipelining 1,H&P: C.3-C.5
Discussion 7,13-Nov,"Homework 3 Due, Discussion",
,,Paper Discussion 6,
,,Review: Dynamic Branch Prediction with Perceptrons,https://www.cs.utexas.edu/~lin/papers/hpca01.pdf
Lecture 14,14-Nov,Advanced Pipelining 2,H&P: 3.4-3.5
Lecture 15,16-Nov,Advanced Pipelining 3,H&P: 3.5-3.7
,,Homework 4 Release: Performance Metrics for Out-of-Order Processors,https://github.com/jlpteaching/17fq-cs201a/blob/master/hw4/hw4.rst
Discussion 8,20-Nov,Quiz 2,
,,Paper Discussion 7,
,,Review: Dynamic Speculation and Synchronization of Data Dependences,http://ftp.cs.wisc.edu/sohi/papers/1997/isca.data-dep-spec.pdf
,,Optional Background: WARF ‘752 Patent (from Google),https://www.google.com/patents/US5781752
Lecture 16,21-Nov,Limitations of ILP and Speculation,H&P: 3.9-3.14
Thanksgiving,23-Nov,NO CLASS,
Discussion 9,27-Nov,"Homework 4 Due, Discussion",
,,Paper Discussion 8,
,,Review: The Implementation of the Cilk-5 Multithreaded Language,http://supertech.csail.mit.edu/papers/cilk5.pdf
,,Homework 5 Release: Concurrency in Cilk+,https://github.com/jlpteaching/17fq-cs201a/blob/master/hw5/hw5.rst
Lecture 17,28-Nov,Data-level Parallelism,"H&P: pages 9, 10. Sections 4.1, 4.3, 4.4 (skim), 4.6-4.7"
Lecture 18,30-Nov,Thread-level Parallelism,"H&P: 5.1, 5.2 (skim), 5.5-5.6"
Discussion 10,4-Dec,Quiz 3,
,,Paper 9 Discussion,
,,Review: Attack of the Killer Microseconds,https://dl.acm.org/citation.cfm?id=3015146
Lecture 19,5-Dec,Reliability and Security,
Lecture 20,7-Dec,Other topics ,
,,"Homework 5 Due, Discussion",
Final,12-Dec,"1:00 – 3:00 PM, 226 Wellman",
